"date_id","fulldate","dayofmonth","dayofyear","dayofweek","dayname","monthnumber","monthname","year","quarter"
"1000","2003-01-06","6","6","2","Monday","1","January","2003","1"
"1001","2003-01-07","7","7","3","Tuesday","1","January","2003","1"
"1002","2003-01-08","8","8","4","Wednesday","1","January","2003","1"
"1003","2003-01-09","9","9","5","Thursday","1","January","2003","1"
"1004","2003-01-10","10","10","6","Friday","1","January","2003","1"
"1005","2003-01-11","11","11","7","Saturday","1","January","2003","1"
"1006","2003-01-12","12","12","1","Sunday","1","January","2003","1"
"1007","2003-01-13","13","13","2","Monday","1","January","2003","1"
"1008","2003-01-14","14","14","3","Tuesday","1","January","2003","1"
"1009","2003-01-15","15","15","4","Wednesday","1","January","2003","1"
"1010","2003-01-16","16","16","5","Thursday","1","January","2003","1"
"1011","2003-01-17","17","17","6","Friday","1","January","2003","1"
"1012","2003-01-18","18","18","7","Saturday","1","January","2003","1"
"1013","2003-01-19","19","19","1","Sunday","1","January","2003","1"
"1014","2003-01-20","20","20","2","Monday","1","January","2003","1"
"1015","2003-01-21","21","21","3","Tuesday","1","January","2003","1"
"1016","2003-01-22","22","22","4","Wednesday","1","January","2003","1"
"1017","2003-01-23","23","23","5","Thursday","1","January","2003","1"
"1018","2003-01-24","24","24","6","Friday","1","January","2003","1"
"1019","2003-01-25","25","25","7","Saturday","1","January","2003","1"
"1020","2003-01-26","26","26","1","Sunday","1","January","2003","1"
"1021","2003-01-27","27","27","2","Monday","1","January","2003","1"
"1022","2003-01-28","28","28","3","Tuesday","1","January","2003","1"
"1023","2003-01-29","29","29","4","Wednesday","1","January","2003","1"
"1024","2003-01-30","30","30","5","Thursday","1","January","2003","1"
"1025","2003-01-31","31","31","6","Friday","1","January","2003","1"
"1026","2003-02-01","1","32","7","Saturday","2","February","2003","1"
"1027","2003-02-02","2","33","1","Sunday","2","February","2003","1"
"1028","2003-02-03","3","34","2","Monday","2","February","2003","1"
"1029","2003-02-04","4","35","3","Tuesday","2","February","2003","1"
"1030","2003-02-05","5","36","4","Wednesday","2","February","2003","1"
"1031","2003-02-06","6","37","5","Thursday","2","February","2003","1"
"1032","2003-02-07","7","38","6","Friday","2","February","2003","1"
"1033","2003-02-08","8","39","7","Saturday","2","February","2003","1"
"1034","2003-02-09","9","40","1","Sunday","2","February","2003","1"
"1035","2003-02-10","10","41","2","Monday","2","February","2003","1"
"1036","2003-02-11","11","42","3","Tuesday","2","February","2003","1"
"1037","2003-02-12","12","43","4","Wednesday","2","February","2003","1"
"1038","2003-02-13","13","44","5","Thursday","2","February","2003","1"
"1039","2003-02-14","14","45","6","Friday","2","February","2003","1"
"1040","2003-02-15","15","46","7","Saturday","2","February","2003","1"
"1041","2003-02-16","16","47","1","Sunday","2","February","2003","1"
"1042","2003-02-17","17","48","2","Monday","2","February","2003","1"
"1043","2003-02-18","18","49","3","Tuesday","2","February","2003","1"
"1044","2003-02-19","19","50","4","Wednesday","2","February","2003","1"
"1045","2003-02-20","20","51","5","Thursday","2","February","2003","1"
"1046","2003-02-21","21","52","6","Friday","2","February","2003","1"
"1047","2003-02-22","22","53","7","Saturday","2","February","2003","1"
"1048","2003-02-23","23","54","1","Sunday","2","February","2003","1"
"1049","2003-02-24","24","55","2","Monday","2","February","2003","1"
"1050","2003-02-25","25","56","3","Tuesday","2","February","2003","1"
"1051","2003-02-26","26","57","4","Wednesday","2","February","2003","1"
"1052","2003-02-27","27","58","5","Thursday","2","February","2003","1"
"1053","2003-02-28","28","59","6","Friday","2","February","2003","1"
"1054","2003-03-01","1","60","7","Saturday","3","March","2003","1"
"1055","2003-03-02","2","61","1","Sunday","3","March","2003","1"
"1056","2003-03-03","3","62","2","Monday","3","March","2003","1"
"1057","2003-03-04","4","63","3","Tuesday","3","March","2003","1"
"1058","2003-03-05","5","64","4","Wednesday","3","March","2003","1"
"1059","2003-03-06","6","65","5","Thursday","3","March","2003","1"
"1060","2003-03-07","7","66","6","Friday","3","March","2003","1"
"1061","2003-03-08","8","67","7","Saturday","3","March","2003","1"
"1062","2003-03-09","9","68","1","Sunday","3","March","2003","1"
"1063","2003-03-10","10","69","2","Monday","3","March","2003","1"
"1064","2003-03-11","11","70","3","Tuesday","3","March","2003","1"
"1065","2003-03-12","12","71","4","Wednesday","3","March","2003","1"
"1066","2003-03-13","13","72","5","Thursday","3","March","2003","1"
"1067","2003-03-14","14","73","6","Friday","3","March","2003","1"
"1068","2003-03-15","15","74","7","Saturday","3","March","2003","1"
"1069","2003-03-16","16","75","1","Sunday","3","March","2003","1"
"1070","2003-03-17","17","76","2","Monday","3","March","2003","1"
"1071","2003-03-18","18","77","3","Tuesday","3","March","2003","1"
"1072","2003-03-19","19","78","4","Wednesday","3","March","2003","1"
"1073","2003-03-20","20","79","5","Thursday","3","March","2003","1"
"1074","2003-03-21","21","80","6","Friday","3","March","2003","1"
"1075","2003-03-22","22","81","7","Saturday","3","March","2003","1"
"1076","2003-03-23","23","82","1","Sunday","3","March","2003","1"
"1077","2003-03-24","24","83","2","Monday","3","March","2003","1"
"1078","2003-03-25","25","84","3","Tuesday","3","March","2003","1"
"1079","2003-03-26","26","85","4","Wednesday","3","March","2003","1"
"1080","2003-03-27","27","86","5","Thursday","3","March","2003","1"
"1081","2003-03-28","28","87","6","Friday","3","March","2003","1"
"1082","2003-03-29","29","88","7","Saturday","3","March","2003","1"
"1083","2003-03-30","30","89","1","Sunday","3","March","2003","1"
"1084","2003-03-31","31","90","2","Monday","3","March","2003","1"
"1085","2003-04-01","1","91","3","Tuesday","4","April","2003","2"
"1086","2003-04-02","2","92","4","Wednesday","4","April","2003","2"
"1087","2003-04-03","3","93","5","Thursday","4","April","2003","2"
"1088","2003-04-04","4","94","6","Friday","4","April","2003","2"
"1089","2003-04-05","5","95","7","Saturday","4","April","2003","2"
"1090","2003-04-06","6","96","1","Sunday","4","April","2003","2"
"1091","2003-04-07","7","97","2","Monday","4","April","2003","2"
"1092","2003-04-08","8","98","3","Tuesday","4","April","2003","2"
"1093","2003-04-09","9","99","4","Wednesday","4","April","2003","2"
"1094","2003-04-10","10","100","5","Thursday","4","April","2003","2"
"1095","2003-04-11","11","101","6","Friday","4","April","2003","2"
"1096","2003-04-12","12","102","7","Saturday","4","April","2003","2"
"1097","2003-04-13","13","103","1","Sunday","4","April","2003","2"
"1098","2003-04-14","14","104","2","Monday","4","April","2003","2"
"1099","2003-04-15","15","105","3","Tuesday","4","April","2003","2"
"1100","2003-04-16","16","106","4","Wednesday","4","April","2003","2"
"1101","2003-04-17","17","107","5","Thursday","4","April","2003","2"
"1102","2003-04-18","18","108","6","Friday","4","April","2003","2"
"1103","2003-04-19","19","109","7","Saturday","4","April","2003","2"
"1104","2003-04-20","20","110","1","Sunday","4","April","2003","2"
"1105","2003-04-21","21","111","2","Monday","4","April","2003","2"
"1106","2003-04-22","22","112","3","Tuesday","4","April","2003","2"
"1107","2003-04-23","23","113","4","Wednesday","4","April","2003","2"
"1108","2003-04-24","24","114","5","Thursday","4","April","2003","2"
"1109","2003-04-25","25","115","6","Friday","4","April","2003","2"
"1110","2003-04-26","26","116","7","Saturday","4","April","2003","2"
"1111","2003-04-27","27","117","1","Sunday","4","April","2003","2"
"1112","2003-04-28","28","118","2","Monday","4","April","2003","2"
"1113","2003-04-29","29","119","3","Tuesday","4","April","2003","2"
"1114","2003-04-30","30","120","4","Wednesday","4","April","2003","2"
"1115","2003-05-01","1","121","5","Thursday","5","May","2003","2"
"1116","2003-05-02","2","122","6","Friday","5","May","2003","2"
"1117","2003-05-03","3","123","7","Saturday","5","May","2003","2"
"1118","2003-05-04","4","124","1","Sunday","5","May","2003","2"
"1119","2003-05-05","5","125","2","Monday","5","May","2003","2"
"1120","2003-05-06","6","126","3","Tuesday","5","May","2003","2"
"1121","2003-05-07","7","127","4","Wednesday","5","May","2003","2"
"1122","2003-05-08","8","128","5","Thursday","5","May","2003","2"
"1123","2003-05-09","9","129","6","Friday","5","May","2003","2"
"1124","2003-05-10","10","130","7","Saturday","5","May","2003","2"
"1125","2003-05-11","11","131","1","Sunday","5","May","2003","2"
"1126","2003-05-12","12","132","2","Monday","5","May","2003","2"
"1127","2003-05-13","13","133","3","Tuesday","5","May","2003","2"
"1128","2003-05-14","14","134","4","Wednesday","5","May","2003","2"
"1129","2003-05-15","15","135","5","Thursday","5","May","2003","2"
"1130","2003-05-16","16","136","6","Friday","5","May","2003","2"
"1131","2003-05-17","17","137","7","Saturday","5","May","2003","2"
"1132","2003-05-18","18","138","1","Sunday","5","May","2003","2"
"1133","2003-05-19","19","139","2","Monday","5","May","2003","2"
"1134","2003-05-20","20","140","3","Tuesday","5","May","2003","2"
"1135","2003-05-21","21","141","4","Wednesday","5","May","2003","2"
"1136","2003-05-22","22","142","5","Thursday","5","May","2003","2"
"1137","2003-05-23","23","143","6","Friday","5","May","2003","2"
"1138","2003-05-24","24","144","7","Saturday","5","May","2003","2"
"1139","2003-05-25","25","145","1","Sunday","5","May","2003","2"
"1140","2003-05-26","26","146","2","Monday","5","May","2003","2"
"1141","2003-05-27","27","147","3","Tuesday","5","May","2003","2"
"1142","2003-05-28","28","148","4","Wednesday","5","May","2003","2"
"1143","2003-05-29","29","149","5","Thursday","5","May","2003","2"
"1144","2003-05-30","30","150","6","Friday","5","May","2003","2"
"1145","2003-05-31","31","151","7","Saturday","5","May","2003","2"
"1146","2003-06-01","1","152","1","Sunday","6","June","2003","2"
"1147","2003-06-02","2","153","2","Monday","6","June","2003","2"
"1148","2003-06-03","3","154","3","Tuesday","6","June","2003","2"
"1149","2003-06-04","4","155","4","Wednesday","6","June","2003","2"
"1150","2003-06-05","5","156","5","Thursday","6","June","2003","2"
"1151","2003-06-06","6","157","6","Friday","6","June","2003","2"
"1152","2003-06-07","7","158","7","Saturday","6","June","2003","2"
"1153","2003-06-08","8","159","1","Sunday","6","June","2003","2"
"1154","2003-06-09","9","160","2","Monday","6","June","2003","2"
"1155","2003-06-10","10","161","3","Tuesday","6","June","2003","2"
"1156","2003-06-11","11","162","4","Wednesday","6","June","2003","2"
"1157","2003-06-12","12","163","5","Thursday","6","June","2003","2"
"1158","2003-06-13","13","164","6","Friday","6","June","2003","2"
"1159","2003-06-14","14","165","7","Saturday","6","June","2003","2"
"1160","2003-06-15","15","166","1","Sunday","6","June","2003","2"
"1161","2003-06-16","16","167","2","Monday","6","June","2003","2"
"1162","2003-06-17","17","168","3","Tuesday","6","June","2003","2"
"1163","2003-06-18","18","169","4","Wednesday","6","June","2003","2"
"1164","2003-06-19","19","170","5","Thursday","6","June","2003","2"
"1165","2003-06-20","20","171","6","Friday","6","June","2003","2"
"1166","2003-06-21","21","172","7","Saturday","6","June","2003","2"
"1167","2003-06-22","22","173","1","Sunday","6","June","2003","2"
"1168","2003-06-23","23","174","2","Monday","6","June","2003","2"
"1169","2003-06-24","24","175","3","Tuesday","6","June","2003","2"
"1170","2003-06-25","25","176","4","Wednesday","6","June","2003","2"
"1171","2003-06-26","26","177","5","Thursday","6","June","2003","2"
"1172","2003-06-27","27","178","6","Friday","6","June","2003","2"
"1173","2003-06-28","28","179","7","Saturday","6","June","2003","2"
"1174","2003-06-29","29","180","1","Sunday","6","June","2003","2"
"1175","2003-06-30","30","181","2","Monday","6","June","2003","2"
"1176","2003-07-01","1","182","3","Tuesday","7","July","2003","3"
"1177","2003-07-02","2","183","4","Wednesday","7","July","2003","3"
"1178","2003-07-03","3","184","5","Thursday","7","July","2003","3"
"1179","2003-07-04","4","185","6","Friday","7","July","2003","3"
"1180","2003-07-05","5","186","7","Saturday","7","July","2003","3"
"1181","2003-07-06","6","187","1","Sunday","7","July","2003","3"
"1182","2003-07-07","7","188","2","Monday","7","July","2003","3"
"1183","2003-07-08","8","189","3","Tuesday","7","July","2003","3"
"1184","2003-07-09","9","190","4","Wednesday","7","July","2003","3"
"1185","2003-07-10","10","191","5","Thursday","7","July","2003","3"
"1186","2003-07-11","11","192","6","Friday","7","July","2003","3"
"1187","2003-07-12","12","193","7","Saturday","7","July","2003","3"
"1188","2003-07-13","13","194","1","Sunday","7","July","2003","3"
"1189","2003-07-14","14","195","2","Monday","7","July","2003","3"
"1190","2003-07-15","15","196","3","Tuesday","7","July","2003","3"
"1191","2003-07-16","16","197","4","Wednesday","7","July","2003","3"
"1192","2003-07-17","17","198","5","Thursday","7","July","2003","3"
"1193","2003-07-18","18","199","6","Friday","7","July","2003","3"
"1194","2003-07-19","19","200","7","Saturday","7","July","2003","3"
"1195","2003-07-20","20","201","1","Sunday","7","July","2003","3"
"1196","2003-07-21","21","202","2","Monday","7","July","2003","3"
"1197","2003-07-22","22","203","3","Tuesday","7","July","2003","3"
"1198","2003-07-23","23","204","4","Wednesday","7","July","2003","3"
"1199","2003-07-24","24","205","5","Thursday","7","July","2003","3"
"1200","2003-07-25","25","206","6","Friday","7","July","2003","3"
"1201","2003-07-26","26","207","7","Saturday","7","July","2003","3"
"1202","2003-07-27","27","208","1","Sunday","7","July","2003","3"
"1203","2003-07-28","28","209","2","Monday","7","July","2003","3"
"1204","2003-07-29","29","210","3","Tuesday","7","July","2003","3"
"1205","2003-07-30","30","211","4","Wednesday","7","July","2003","3"
"1206","2003-07-31","31","212","5","Thursday","7","July","2003","3"
"1207","2003-08-01","1","213","6","Friday","8","August","2003","3"
"1208","2003-08-02","2","214","7","Saturday","8","August","2003","3"
"1209","2003-08-03","3","215","1","Sunday","8","August","2003","3"
"1210","2003-08-04","4","216","2","Monday","8","August","2003","3"
"1211","2003-08-05","5","217","3","Tuesday","8","August","2003","3"
"1212","2003-08-06","6","218","4","Wednesday","8","August","2003","3"
"1213","2003-08-07","7","219","5","Thursday","8","August","2003","3"
"1214","2003-08-08","8","220","6","Friday","8","August","2003","3"
"1215","2003-08-09","9","221","7","Saturday","8","August","2003","3"
"1216","2003-08-10","10","222","1","Sunday","8","August","2003","3"
"1217","2003-08-11","11","223","2","Monday","8","August","2003","3"
"1218","2003-08-12","12","224","3","Tuesday","8","August","2003","3"
"1219","2003-08-13","13","225","4","Wednesday","8","August","2003","3"
"1220","2003-08-14","14","226","5","Thursday","8","August","2003","3"
"1221","2003-08-15","15","227","6","Friday","8","August","2003","3"
"1222","2003-08-16","16","228","7","Saturday","8","August","2003","3"
"1223","2003-08-17","17","229","1","Sunday","8","August","2003","3"
"1224","2003-08-18","18","230","2","Monday","8","August","2003","3"
"1225","2003-08-19","19","231","3","Tuesday","8","August","2003","3"
"1226","2003-08-20","20","232","4","Wednesday","8","August","2003","3"
"1227","2003-08-21","21","233","5","Thursday","8","August","2003","3"
"1228","2003-08-22","22","234","6","Friday","8","August","2003","3"
"1229","2003-08-23","23","235","7","Saturday","8","August","2003","3"
"1230","2003-08-24","24","236","1","Sunday","8","August","2003","3"
"1231","2003-08-25","25","237","2","Monday","8","August","2003","3"
"1232","2003-08-26","26","238","3","Tuesday","8","August","2003","3"
"1233","2003-08-27","27","239","4","Wednesday","8","August","2003","3"
"1234","2003-08-28","28","240","5","Thursday","8","August","2003","3"
"1235","2003-08-29","29","241","6","Friday","8","August","2003","3"
"1236","2003-08-30","30","242","7","Saturday","8","August","2003","3"
"1237","2003-08-31","31","243","1","Sunday","8","August","2003","3"
"1238","2003-09-01","1","244","2","Monday","9","September","2003","3"
"1239","2003-09-02","2","245","3","Tuesday","9","September","2003","3"
"1240","2003-09-03","3","246","4","Wednesday","9","September","2003","3"
"1241","2003-09-04","4","247","5","Thursday","9","September","2003","3"
"1242","2003-09-05","5","248","6","Friday","9","September","2003","3"
"1243","2003-09-06","6","249","7","Saturday","9","September","2003","3"
"1244","2003-09-07","7","250","1","Sunday","9","September","2003","3"
"1245","2003-09-08","8","251","2","Monday","9","September","2003","3"
"1246","2003-09-09","9","252","3","Tuesday","9","September","2003","3"
"1247","2003-09-10","10","253","4","Wednesday","9","September","2003","3"
"1248","2003-09-11","11","254","5","Thursday","9","September","2003","3"
"1249","2003-09-12","12","255","6","Friday","9","September","2003","3"
"1250","2003-09-13","13","256","7","Saturday","9","September","2003","3"
"1251","2003-09-14","14","257","1","Sunday","9","September","2003","3"
"1252","2003-09-15","15","258","2","Monday","9","September","2003","3"
"1253","2003-09-16","16","259","3","Tuesday","9","September","2003","3"
"1254","2003-09-17","17","260","4","Wednesday","9","September","2003","3"
"1255","2003-09-18","18","261","5","Thursday","9","September","2003","3"
"1256","2003-09-19","19","262","6","Friday","9","September","2003","3"
"1257","2003-09-20","20","263","7","Saturday","9","September","2003","3"
"1258","2003-09-21","21","264","1","Sunday","9","September","2003","3"
"1259","2003-09-22","22","265","2","Monday","9","September","2003","3"
"1260","2003-09-23","23","266","3","Tuesday","9","September","2003","3"
"1261","2003-09-24","24","267","4","Wednesday","9","September","2003","3"
"1262","2003-09-25","25","268","5","Thursday","9","September","2003","3"
"1263","2003-09-26","26","269","6","Friday","9","September","2003","3"
"1264","2003-09-27","27","270","7","Saturday","9","September","2003","3"
"1265","2003-09-28","28","271","1","Sunday","9","September","2003","3"
"1266","2003-09-29","29","272","2","Monday","9","September","2003","3"
"1267","2003-09-30","30","273","3","Tuesday","9","September","2003","3"
"1268","2003-10-01","1","274","4","Wednesday","10","October","2003","4"
"1269","2003-10-02","2","275","5","Thursday","10","October","2003","4"
"1270","2003-10-03","3","276","6","Friday","10","October","2003","4"
"1271","2003-10-04","4","277","7","Saturday","10","October","2003","4"
"1272","2003-10-05","5","278","1","Sunday","10","October","2003","4"
"1273","2003-10-06","6","279","2","Monday","10","October","2003","4"
"1274","2003-10-07","7","280","3","Tuesday","10","October","2003","4"
"1275","2003-10-08","8","281","4","Wednesday","10","October","2003","4"
"1276","2003-10-09","9","282","5","Thursday","10","October","2003","4"
"1277","2003-10-10","10","283","6","Friday","10","October","2003","4"
"1278","2003-10-11","11","284","7","Saturday","10","October","2003","4"
"1279","2003-10-12","12","285","1","Sunday","10","October","2003","4"
"1280","2003-10-13","13","286","2","Monday","10","October","2003","4"
"1281","2003-10-14","14","287","3","Tuesday","10","October","2003","4"
"1282","2003-10-15","15","288","4","Wednesday","10","October","2003","4"
"1283","2003-10-16","16","289","5","Thursday","10","October","2003","4"
"1284","2003-10-17","17","290","6","Friday","10","October","2003","4"
"1285","2003-10-18","18","291","7","Saturday","10","October","2003","4"
"1286","2003-10-19","19","292","1","Sunday","10","October","2003","4"
"1287","2003-10-20","20","293","2","Monday","10","October","2003","4"
"1288","2003-10-21","21","294","3","Tuesday","10","October","2003","4"
"1289","2003-10-22","22","295","4","Wednesday","10","October","2003","4"
"1290","2003-10-23","23","296","5","Thursday","10","October","2003","4"
"1291","2003-10-24","24","297","6","Friday","10","October","2003","4"
